datestamp_gauge,hourly_timestamp,Average of sentiment_score,Sum of distance_to_gauge_km,Count of post_id,Cunupia,Piarco,St. Augustine,St. Helena
12-04-2025 09:00:45-CR-001,12/04/2025 9:00,-1,3.57,1,1,0,0,0
12-04-2025 09:00:45-CR-002,12/04/2025 9:00,-0.52,5.41,2,0,1,1,0
12-04-2025 09:00:45-CR-003,12/04/2025 9:00,-0.403333333,5.26,3,2,0,0,1
12-04-2025 09:00:45-CR-004,12/04/2025 9:00,-0.533333333,5.46,3,0,0,2,1
12-04-2025 09:00:45-CR-005,12/04/2025 9:00,-0.695,9.44,4,1,0,0,3
12-04-2025 09:00:45-CR-006,12/04/2025 9:00,-0.67,2.59,1,0,0,1,0
12-04-2025 09:00:45-CR-007,12/04/2025 9:00,-0.36,1.3,1,0,0,1,0
12-04-2025 09:00:45-CR-008,12/04/2025 9:00,-0.576666667,10.74,3,0,1,1,1
12-04-2025 09:01:00-CR-001,12/04/2025 9:01,-0.97,4.56,1,0,1,0,0
12-04-2025 09:01:00-CR-002,12/04/2025 9:01,-0.6,3.43,1,0,0,1,0
12-04-2025 09:01:00-CR-003,12/04/2025 9:01,-0.48,7.5,3,1,0,0,2
12-04-2025 09:01:00-CR-004,12/04/2025 9:01,-0.493333333,7.92,3,2,0,1,0
12-04-2025 09:01:00-CR-005,12/04/2025 9:01,-0.513333333,5.04,3,0,0,1,2
12-04-2025 09:01:00-CR-006,12/04/2025 9:01,-0.37,0.82,1,0,0,0,1
12-04-2025 09:01:00-CR-007,12/04/2025 9:01,-0.606666667,6.82,3,1,2,0,0
12-04-2025 09:01:00-CR-008,12/04/2025 9:01,-0.496666667,7.52,3,1,1,0,1
12-04-2025 09:01:15-CR-001,12/04/2025 9:01,-0.345,12.44,4,2,1,0,1
12-04-2025 09:01:15-CR-002,12/04/2025 9:01,-0.416666667,11.94,3,1,0,1,1
12-04-2025 09:01:15-CR-003,12/04/2025 9:01,-0.6,5.72,2,2,0,0,0
12-04-2025 09:01:15-CR-004,12/04/2025 9:01,-0.23,2.29,1,0,0,1,0
12-04-2025 09:01:15-CR-005,12/04/2025 9:01,-0.395,4.57,2,1,1,0,0
12-04-2025 09:01:15-CR-006,12/04/2025 9:01,-0.705,3.92,2,0,1,0,1
12-04-2025 09:01:15-CR-007,12/04/2025 9:01,-0.526666667,8.65,3,1,2,0,0
12-04-2025 09:01:15-CR-008,12/04/2025 9:01,-0.53,7.65,3,1,0,1,1
12-04-2025 09:01:30-CR-001,12/04/2025 9:01,-0.616666667,6.8,3,0,1,0,2
12-04-2025 09:01:30-CR-002,12/04/2025 9:01,-0.4,0.12,1,0,0,0,1
12-04-2025 09:01:30-CR-003,12/04/2025 9:01,-0.87,1.35,1,0,0,1,0
12-04-2025 09:01:30-CR-004,12/04/2025 9:01,-0.516666667,7.34,3,0,1,2,0
12-04-2025 09:01:30-CR-005,12/04/2025 9:01,-0.44,2,2,0,1,0,1
12-04-2025 09:01:30-CR-006,12/04/2025 9:01,-0.42,8.73,4,0,1,3,0
12-04-2025 09:01:30-CR-007,12/04/2025 9:01,-0.4075,9.6,4,1,2,1,0
12-04-2025 09:01:30-CR-008,12/04/2025 9:01,-0.44,1.41,1,1,0,0,0
12-04-2025 09:01:45-CR-001,12/04/2025 9:01,-0.505,10.01,4,1,0,0,3
12-04-2025 09:01:45-CR-002,12/04/2025 9:01,-0.64,6.98,2,1,0,1,0
12-04-2025 09:01:45-CR-003,12/04/2025 9:01,-0.78,0.39,1,0,1,0,0
12-04-2025 09:01:45-CR-004,12/04/2025 9:01,-0.305,3.38,2,1,1,0,0
12-04-2025 09:01:45-CR-005,12/04/2025 9:01,-0.615,2.07,2,1,0,0,1
12-04-2025 09:01:45-CR-006,12/04/2025 9:01,-0.4,7.23,4,0,0,1,3
12-04-2025 09:01:45-CR-007,12/04/2025 9:01,-0.315,1.75,2,0,2,0,0
12-04-2025 09:01:45-CR-008,12/04/2025 9:01,-0.4375,15.47,4,1,0,2,1
12-04-2025 09:02:00-CR-001,12/04/2025 9:02,-0.453333333,8.83,3,0,0,2,1
12-04-2025 09:02:00-CR-002,12/04/2025 9:02,-0.476666667,8.61,3,0,0,2,1
12-04-2025 09:02:00-CR-003,12/04/2025 9:02,-0.46,6.86,3,3,0,0,0
12-04-2025 09:02:00-CR-004,12/04/2025 9:02,-0.4425,10.57,4,0,1,2,1
12-04-2025 09:02:00-CR-005,12/04/2025 9:02,-0.59,4.81,2,0,1,0,1
12-04-2025 09:02:00-CR-006,12/04/2025 9:02,-0.25,4.12,3,0,1,1,1
12-04-2025 09:02:00-CR-007,12/04/2025 9:02,-0.645,2.89,2,1,0,1,0
12-04-2025 09:02:00-CR-008,12/04/2025 9:02,-0.08,6.83,2,0,0,1,1
12-04-2025 09:02:15-CR-001,12/04/2025 9:02,-0.695,1.57,2,0,0,2,0
12-04-2025 09:02:15-CR-002,12/04/2025 9:02,-0.435,10.08,4,2,0,2,0
12-04-2025 09:02:15-CR-003,12/04/2025 9:02,-0.52,3.3,1,0,0,1,0
12-04-2025 09:02:15-CR-004,12/04/2025 9:02,-0.46,7.33,3,0,1,1,1
12-04-2025 09:02:15-CR-005,12/04/2025 9:02,-0.5325,10.84,4,0,2,1,1
12-04-2025 09:02:15-CR-006,12/04/2025 9:02,-0.54,5.21,2,1,0,1,0
12-04-2025 09:02:15-CR-007,12/04/2025 9:02,-0.63,11.53,4,1,1,2,0
12-04-2025 09:02:15-CR-008,12/04/2025 9:02,-0.44,4.48,1,0,0,0,1
12-04-2025 09:02:30-CR-001,12/04/2025 9:02,-0.54,7.42,4,2,1,0,1
12-04-2025 09:02:30-CR-002,12/04/2025 9:02,-0.29,0.59,1,0,0,0,1
12-04-2025 09:02:30-CR-003,12/04/2025 9:02,-0.5625,7.73,4,2,2,0,0
12-04-2025 09:02:30-CR-004,12/04/2025 9:02,-0.36,1.79,2,1,0,0,1
12-04-2025 09:02:30-CR-005,12/04/2025 9:02,-0.54,4.76,3,1,1,1,0
12-04-2025 09:02:30-CR-006,12/04/2025 9:02,-0.436666667,3,3,0,0,2,1
12-04-2025 09:02:30-CR-007,12/04/2025 9:02,-0.646666667,7.11,3,0,0,2,1
12-04-2025 09:02:30-CR-008,12/04/2025 9:02,-0.56,11.3,3,0,2,0,1
12-04-2025 09:02:45-CR-001,12/04/2025 9:02,-0.46,1.02,1,0,1,0,0
12-04-2025 09:02:45-CR-002,12/04/2025 9:02,-0.48,3.93,1,0,0,1,0
12-04-2025 09:02:45-CR-003,12/04/2025 9:02,-0.455,9.5,4,1,0,1,2
12-04-2025 09:02:45-CR-004,12/04/2025 9:02,-0.603333333,8.11,3,0,1,1,1
12-04-2025 09:02:45-CR-005,12/04/2025 9:02,-0.51,4.19,1,0,0,0,1
12-04-2025 09:02:45-CR-006,12/04/2025 9:02,-0.5025,9.74,4,1,1,1,1
12-04-2025 09:02:45-CR-007,12/04/2025 9:02,-0.65,0.38,1,0,0,0,1
12-04-2025 09:02:45-CR-008,12/04/2025 9:02,-0.5475,12.33,4,0,1,1,2
12-04-2025 09:03:00-CR-001,12/04/2025 9:03,-0.5075,13.15,4,3,0,1,0
12-04-2025 09:03:00-CR-002,12/04/2025 9:03,-0.59,7.87,2,2,0,0,0
12-04-2025 09:03:00-CR-003,12/04/2025 9:03,-0.446666667,5.83,3,1,1,0,1
12-04-2025 09:03:00-CR-004,12/04/2025 9:03,-0.7,7.76,3,1,1,0,1
12-04-2025 09:03:00-CR-005,12/04/2025 9:03,-0.525,5.08,2,2,0,0,0
12-04-2025 09:03:00-CR-006,12/04/2025 9:03,-0.445,6.94,4,1,1,2,0
12-04-2025 09:03:00-CR-007,12/04/2025 9:03,-0.415,2.56,2,0,0,1,1
12-04-2025 09:03:00-CR-008,12/04/2025 9:03,-0.5275,4.35,4,1,2,0,1
12-04-2025 09:03:15-CR-001,12/04/2025 9:03,-0.5775,13.42,4,1,0,0,3
12-04-2025 09:03:15-CR-002,12/04/2025 9:03,-0.406666667,3.41,3,0,2,0,1
12-04-2025 09:03:15-CR-003,12/04/2025 9:03,-0.425,6.13,4,2,0,2,0
12-04-2025 09:03:15-CR-004,12/04/2025 9:03,-0.58,2.59,2,0,2,0,0
12-04-2025 09:03:15-CR-005,12/04/2025 9:03,-0.61,9.29,4,2,0,2,0
12-04-2025 09:03:15-CR-006,12/04/2025 9:03,-0.59,9.42,3,0,2,1,0
12-04-2025 09:03:15-CR-007,12/04/2025 9:03,-0.64,2.59,1,1,0,0,0
12-04-2025 09:03:15-CR-008,12/04/2025 9:03,-0.63,4.37,1,0,0,0,1
12-04-2025 09:03:30-CR-001,12/04/2025 9:03,-0.52,0.38,1,0,1,0,0
12-04-2025 09:03:30-CR-002,12/04/2025 9:03,-0.513333333,6.44,3,0,0,1,2
12-04-2025 09:03:30-CR-003,12/04/2025 9:03,-0.24,1.16,1,1,0,0,0
12-04-2025 09:03:30-CR-004,12/04/2025 9:03,-0.4,3.61,1,0,0,1,0
12-04-2025 09:03:30-CR-005,12/04/2025 9:03,-0.603333333,6.89,3,2,0,0,1
12-04-2025 09:03:30-CR-006,12/04/2025 9:03,-0.64,4.17,1,0,0,0,1
12-04-2025 09:03:30-CR-007,12/04/2025 9:03,-0.576666667,5.14,3,1,1,0,1
12-04-2025 09:03:30-CR-008,12/04/2025 9:03,-0.426666667,8.04,3,2,0,1,0
12-04-2025 09:03:45-CR-001,12/04/2025 9:03,-0.56,4.87,2,1,0,0,1
12-04-2025 09:03:45-CR-002,12/04/2025 9:03,-0.785,6.79,2,0,0,1,1
12-04-2025 09:03:45-CR-003,12/04/2025 9:03,-0.32,9.55,3,0,2,1,0
12-04-2025 09:03:45-CR-004,12/04/2025 9:03,-0.57,7.42,4,0,1,1,2
12-04-2025 09:03:45-CR-005,12/04/2025 9:03,-0.55,8.56,3,0,0,1,2
12-04-2025 09:03:45-CR-006,12/04/2025 9:03,-0.3675,4.88,4,1,1,1,1
12-04-2025 09:03:45-CR-007,12/04/2025 9:03,-0.41,1.59,1,0,0,0,1
12-04-2025 09:03:45-CR-008,12/04/2025 9:03,-0.43,10.18,3,0,3,0,0
12-04-2025 09:04:00-CR-001,12/04/2025 9:04,-0.63,8.43,4,0,2,2,0
12-04-2025 09:04:00-CR-002,12/04/2025 9:04,-0.586666667,4.82,3,1,1,0,1
12-04-2025 09:04:00-CR-003,12/04/2025 9:04,-0.535,1.89,2,0,0,1,1
12-04-2025 09:04:00-CR-004,12/04/2025 9:04,-0.22,2.4,1,0,1,0,0
12-04-2025 09:04:00-CR-005,12/04/2025 9:04,-0.54,5.15,2,1,0,1,0
12-04-2025 09:04:00-CR-006,12/04/2025 9:04,-0.68,8.42,4,0,4,0,0
12-04-2025 09:04:00-CR-007,12/04/2025 9:04,-0.6075,9.03,4,1,3,0,0
12-04-2025 09:04:00-CR-008,12/04/2025 9:04,-0.445,13.74,4,1,2,1,0
12-04-2025 09:04:15-CR-001,12/04/2025 9:04,-0.62,3.99,1,0,0,0,1
12-04-2025 09:04:15-CR-002,12/04/2025 9:04,-0.505,4.9,2,2,0,0,0
12-04-2025 09:04:15-CR-003,12/04/2025 9:04,-0.506666667,4.7,3,1,1,1,0
12-04-2025 09:04:15-CR-004,12/04/2025 9:04,-0.34,4.86,3,1,0,1,1
12-04-2025 09:04:15-CR-005,12/04/2025 9:04,-0.395,5.49,2,0,1,1,0
12-04-2025 09:04:15-CR-006,12/04/2025 9:04,-0.46,3.05,1,0,0,1,0
12-04-2025 09:04:15-CR-007,12/04/2025 9:04,-0.68,4.81,3,0,1,2,0
12-04-2025 09:04:15-CR-008,12/04/2025 9:04,-0.42,2.15,1,1,0,0,0
12-04-2025 09:04:30-CR-001,12/04/2025 9:04,-0.455,4.15,4,0,1,2,1
12-04-2025 09:04:30-CR-002,12/04/2025 9:04,-0.375,12.73,4,2,0,2,0
12-04-2025 09:04:30-CR-003,12/04/2025 9:04,-0.48,11.13,4,0,2,1,1
12-04-2025 09:04:30-CR-004,12/04/2025 9:04,-0.5,8.59,3,2,0,1,0
12-04-2025 09:04:30-CR-005,12/04/2025 9:04,-0.4925,4,4,0,1,3,0
12-04-2025 09:04:30-CR-006,12/04/2025 9:04,-0.64,5.2,2,0,1,1,0
12-04-2025 09:04:30-CR-007,12/04/2025 9:04,-0.785,0.82,2,1,0,0,1
12-04-2025 09:04:30-CR-008,12/04/2025 9:04,-0.483333333,7.67,3,1,1,0,1
12-04-2025 09:04:45-CR-001,12/04/2025 9:04,-0.4925,6.63,4,1,1,0,2
12-04-2025 09:04:45-CR-002,12/04/2025 9:04,-0.506666667,8.33,3,0,1,1,1
12-04-2025 09:04:45-CR-003,12/04/2025 9:04,-0.4475,10.43,4,0,2,1,1
12-04-2025 09:04:45-CR-004,12/04/2025 9:04,-0.54,8.58,2,0,0,2,0
12-04-2025 09:04:45-CR-005,12/04/2025 9:04,-0.68,2.58,1,0,0,0,1
12-04-2025 09:04:45-CR-006,12/04/2025 9:04,-0.78,3.23,1,0,1,0,0
12-04-2025 09:04:45-CR-007,12/04/2025 9:04,-0.34,7.26,2,0,0,1,1
12-04-2025 09:04:45-CR-008,12/04/2025 9:04,-0.6125,11.36,4,0,1,1,2
12-04-2025 09:05:00-CR-001,12/04/2025 9:05,-0.73,3.15,1,0,1,0,0
12-04-2025 09:05:00-CR-002,12/04/2025 9:05,-0.71,0.45,1,0,0,1,0
12-04-2025 09:05:00-CR-003,12/04/2025 9:05,-0.46,2.06,1,0,0,1,0
12-04-2025 09:05:00-CR-004,12/04/2025 9:05,-0.66,7.93,2,1,0,1,0
12-04-2025 09:05:00-CR-005,12/04/2025 9:05,-0.43,5.05,3,0,0,0,3
12-04-2025 09:05:00-CR-006,12/04/2025 9:05,-0.4275,7.54,4,0,1,2,1
12-04-2025 09:05:00-CR-007,12/04/2025 9:05,-0.596666667,13.5,3,0,1,2,0
12-04-2025 09:05:00-CR-008,12/04/2025 9:05,-0.66,1.88,1,1,0,0,0
12-04-2025 09:05:15-CR-001,12/04/2025 9:05,-0.42,2.06,1,1,0,0,0
12-04-2025 09:05:15-CR-002,12/04/2025 9:05,-0.38,8.47,2,1,0,0,1
12-04-2025 09:05:15-CR-003,12/04/2025 9:05,-0.3,4.71,2,0,0,1,1
12-04-2025 09:05:15-CR-004,12/04/2025 9:05,-0.4375,10.62,4,0,0,3,1
12-04-2025 09:05:15-CR-005,12/04/2025 9:05,-0.38,8.3,3,1,0,2,0
12-04-2025 09:05:15-CR-006,12/04/2025 9:05,-0.4725,10.9,4,1,1,1,1
12-04-2025 09:05:15-CR-007,12/04/2025 9:05,-0.4425,9.71,4,1,0,1,2
12-04-2025 09:05:15-CR-008,12/04/2025 9:05,-0.34,2.99,2,0,0,1,1
12-04-2025 09:05:30-CR-001,12/04/2025 9:05,-0.54,6.88,2,1,0,0,1
12-04-2025 09:05:30-CR-002,12/04/2025 9:05,-0.376666667,9.32,3,1,1,1,0
12-04-2025 09:05:30-CR-003,12/04/2025 9:05,-0.34,4.28,1,0,0,1,0
12-04-2025 09:05:30-CR-004,12/04/2025 9:05,-0.415,5.44,2,0,2,0,0
12-04-2025 09:05:30-CR-005,12/04/2025 9:05,-0.615,7.49,4,0,1,3,0
12-04-2025 09:05:30-CR-006,12/04/2025 9:05,-0.64,8.6,4,1,1,2,0
12-04-2025 09:05:30-CR-007,12/04/2025 9:05,-0.243333333,10.01,3,1,2,0,0
12-04-2025 09:05:30-CR-008,12/04/2025 9:05,-0.41,3.82,2,1,1,0,0
12-04-2025 09:05:45-CR-001,12/04/2025 9:05,-0.51,10.52,4,0,2,2,0
12-04-2025 09:05:45-CR-002,12/04/2025 9:05,-0.295,14.02,4,3,0,0,1
12-04-2025 09:05:45-CR-003,12/04/2025 9:05,-0.616666667,10.26,3,1,1,1,0
12-04-2025 09:05:45-CR-004,12/04/2025 9:05,-0.3475,7.47,4,2,1,1,0
12-04-2025 09:05:45-CR-005,12/04/2025 9:05,-0.47,1.88,1,0,1,0,0
12-04-2025 09:05:45-CR-006,12/04/2025 9:05,-0.5075,10.48,4,0,0,1,3
12-04-2025 09:05:45-CR-007,12/04/2025 9:05,-0.48,11.28,4,0,0,1,3
12-04-2025 09:05:45-CR-008,12/04/2025 9:05,-0.51,11.11,4,2,1,0,1
12-04-2025 09:06:00-CR-001,12/04/2025 9:06,-0.356666667,8.45,3,1,2,0,0
12-04-2025 09:06:00-CR-002,12/04/2025 9:06,-0.6,6.32,2,0,1,1,0
12-04-2025 09:06:00-CR-003,12/04/2025 9:06,-0.64,8.16,2,0,2,0,0
12-04-2025 09:06:00-CR-004,12/04/2025 9:06,-0.615,15.43,4,1,1,1,1
12-04-2025 09:06:00-CR-005,12/04/2025 9:06,-0.615,13.15,4,1,0,2,1
12-04-2025 09:06:00-CR-006,12/04/2025 9:06,-0.47,2.84,2,1,1,0,0
12-04-2025 09:06:00-CR-007,12/04/2025 9:06,-0.59,7.5,2,1,1,0,0
12-04-2025 09:06:00-CR-008,12/04/2025 9:06,-0.61,8.95,4,0,1,0,3
12-04-2025 09:06:15-CR-001,12/04/2025 9:06,-0.5,7.69,3,2,0,1,0
12-04-2025 09:06:15-CR-002,12/04/2025 9:06,-0.735,7.05,2,1,0,0,1
12-04-2025 09:06:15-CR-003,12/04/2025 9:06,-0.476666667,2.77,3,0,1,1,1
12-04-2025 09:06:15-CR-004,12/04/2025 9:06,-0.556666667,11.78,3,0,0,3,0
12-04-2025 09:06:15-CR-005,12/04/2025 9:06,-0.4525,12.07,4,1,1,1,1
12-04-2025 09:06:15-CR-006,12/04/2025 9:06,-0.4875,8.5,4,1,0,1,2
12-04-2025 09:06:15-CR-007,12/04/2025 9:06,-0.686666667,3.69,3,2,0,1,0
12-04-2025 09:06:15-CR-008,12/04/2025 9:06,-0.5375,10.3,4,2,1,0,1
12-04-2025 09:06:30-CR-001,12/04/2025 9:06,-0.52,9.53,3,1,1,1,0
12-04-2025 09:06:30-CR-002,12/04/2025 9:06,-0.263333333,6.58,3,0,0,1,2
12-04-2025 09:06:30-CR-003,12/04/2025 9:06,-0.5175,11.69,4,0,2,1,1
12-04-2025 09:06:30-CR-004,12/04/2025 9:06,-0.22,4.62,2,0,1,1,0
12-04-2025 09:06:30-CR-005,12/04/2025 9:06,-0.29,2.55,2,1,0,1,0
12-04-2025 09:06:30-CR-006,12/04/2025 9:06,-0.6,4.63,1,0,1,0,0
12-04-2025 09:06:30-CR-007,12/04/2025 9:06,-0.65,3.46,1,0,1,0,0
12-04-2025 09:06:30-CR-008,12/04/2025 9:06,-0.505,3.99,4,2,0,2,0
12-04-2025 09:06:45-CR-001,12/04/2025 9:06,-0.82,1.28,1,0,1,0,0
12-04-2025 09:06:45-CR-002,12/04/2025 9:06,-0.436666667,7.82,3,0,0,2,1
12-04-2025 09:06:45-CR-003,12/04/2025 9:06,-0.61,0.7,2,1,0,1,0
12-04-2025 09:06:45-CR-004,12/04/2025 9:06,-0.56,5.28,3,1,0,2,0
12-04-2025 09:06:45-CR-005,12/04/2025 9:06,-0.89,0.23,1,0,0,0,1
12-04-2025 09:06:45-CR-006,12/04/2025 9:06,-0.45,7.73,2,1,1,0,0
12-04-2025 09:06:45-CR-007,12/04/2025 9:06,-0.5575,11.26,4,0,2,1,1
12-04-2025 09:06:45-CR-008,12/04/2025 9:06,-0.62,0.55,1,1,0,0,0
12-04-2025 09:07:00-CR-001,12/04/2025 9:07,-0.385,4.7,2,0,0,1,1
12-04-2025 09:07:00-CR-002,12/04/2025 9:07,-0.54,4.68,1,0,0,1,0
12-04-2025 09:07:00-CR-003,12/04/2025 9:07,-0.493333333,5.72,3,0,1,2,0
12-04-2025 09:07:00-CR-004,12/04/2025 9:07,-0.5,8.93,4,1,3,0,0
12-04-2025 09:07:00-CR-005,12/04/2025 9:07,-0.5625,12.33,4,1,0,1,2
12-04-2025 09:07:00-CR-006,12/04/2025 9:07,-0.723333333,7.57,3,1,1,0,1
12-04-2025 09:07:00-CR-007,12/04/2025 9:07,-0.52,2.11,1,1,0,0,0
12-04-2025 09:07:00-CR-008,12/04/2025 9:07,-0.475,5.34,2,1,0,1,0
12-04-2025 09:07:15-CR-001,12/04/2025 9:07,-0.42,4.91,2,0,0,0,2
12-04-2025 09:07:15-CR-002,12/04/2025 9:07,-0.456666667,4.09,3,0,1,2,0
12-04-2025 09:07:15-CR-003,12/04/2025 9:07,-0.293333333,5.68,3,2,0,1,0
12-04-2025 09:07:15-CR-004,12/04/2025 9:07,-0.393333333,9.64,3,0,1,2,0
12-04-2025 09:07:15-CR-005,12/04/2025 9:07,-0.54,2.94,1,0,0,1,0
12-04-2025 09:07:15-CR-006,12/04/2025 9:07,-0.52,14.67,4,2,0,0,2
12-04-2025 09:07:15-CR-007,12/04/2025 9:07,-0.47,10.68,3,0,0,3,0
12-04-2025 09:07:15-CR-008,12/04/2025 9:07,-0.55,4.71,1,0,0,0,1
12-04-2025 09:07:30-CR-001,12/04/2025 9:07,-0.633333333,5.79,3,0,1,0,2
12-04-2025 09:07:30-CR-002,12/04/2025 9:07,-0.346666667,10.27,3,1,0,0,2
12-04-2025 09:07:30-CR-003,12/04/2025 9:07,-0.525,5.25,2,0,0,1,1
12-04-2025 09:07:30-CR-004,12/04/2025 9:07,-0.35,2.91,1,1,0,0,0
12-04-2025 09:07:30-CR-005,12/04/2025 9:07,-0.263333333,3.44,3,1,0,1,1
12-04-2025 09:07:30-CR-006,12/04/2025 9:07,-0.48,8.4,2,0,0,0,2
12-04-2025 09:07:30-CR-007,12/04/2025 9:07,-0.655,4.08,2,0,0,1,1
12-04-2025 09:07:30-CR-008,12/04/2025 9:07,-0.33,2.9,1,0,0,0,1
12-04-2025 09:07:45-CR-001,12/04/2025 9:07,-0.775,5.1,2,0,0,1,1
12-04-2025 09:07:45-CR-002,12/04/2025 9:07,-0.64,0.78,1,1,0,0,0
12-04-2025 09:07:45-CR-003,12/04/2025 9:07,-0.616666667,3.3,3,1,1,0,1
12-04-2025 09:07:45-CR-004,12/04/2025 9:07,-0.28,1.31,1,1,0,0,0
12-04-2025 09:07:45-CR-005,12/04/2025 9:07,-0.5625,7.47,4,1,1,1,1
12-04-2025 09:07:45-CR-006,12/04/2025 9:07,-0.51,1.49,1,0,0,0,1
12-04-2025 09:07:45-CR-007,12/04/2025 9:07,-0.553333333,2.81,3,0,1,2,0
12-04-2025 09:07:45-CR-008,12/04/2025 9:07,-0.34,4.32,1,0,0,0,1
12-04-2025 09:08:00-CR-001,12/04/2025 9:08,-0.606666667,7.26,3,0,1,1,1
12-04-2025 09:08:00-CR-002,12/04/2025 9:08,-0.4,11.68,3,0,1,2,0
12-04-2025 09:08:00-CR-003,12/04/2025 9:08,-0.81,2.15,1,0,0,0,1
12-04-2025 09:08:00-CR-004,12/04/2025 9:08,-0.5,12.9,4,3,1,0,0
12-04-2025 09:08:00-CR-005,12/04/2025 9:08,-0.64,9.34,3,0,1,0,2
12-04-2025 09:08:00-CR-006,12/04/2025 9:08,-0.41,1.95,1,0,0,1,0
12-04-2025 09:08:00-CR-007,12/04/2025 9:08,-0.5875,6.1,4,2,0,2,0
12-04-2025 09:08:00-CR-008,12/04/2025 9:08,-0.425,7.23,2,1,0,0,1
12-04-2025 09:08:15-CR-001,12/04/2025 9:08,-0.55,1.65,1,1,0,0,0
12-04-2025 09:08:15-CR-002,12/04/2025 9:08,-0.45,1.31,2,0,1,1,0
12-04-2025 09:08:15-CR-003,12/04/2025 9:08,-0.5,10.06,3,0,2,0,1
12-04-2025 09:08:15-CR-004,12/04/2025 9:08,-0.48,2.3,1,0,0,0,1
12-04-2025 09:08:15-CR-005,12/04/2025 9:08,-0.72,3.86,1,0,0,1,0
12-04-2025 09:08:15-CR-006,12/04/2025 9:08,-0.465,5.64,2,0,2,0,0
12-04-2025 09:08:15-CR-007,12/04/2025 9:08,-0.6475,12.25,4,2,0,1,1
12-04-2025 09:08:15-CR-008,12/04/2025 9:08,-0.4,3.96,1,0,1,0,0
12-04-2025 09:08:30-CR-001,12/04/2025 9:08,-0.41,4.98,2,0,0,0,2
12-04-2025 09:08:30-CR-002,12/04/2025 9:08,-0.483333333,7.26,3,0,2,0,1
12-04-2025 09:08:30-CR-003,12/04/2025 9:08,-0.593333333,6.85,3,2,0,1,0
12-04-2025 09:08:30-CR-004,12/04/2025 9:08,-0.06,3.94,1,0,0,1,0
12-04-2025 09:08:30-CR-005,12/04/2025 9:08,-0.64,5.02,2,0,1,0,1
12-04-2025 09:08:30-CR-006,12/04/2025 9:08,-0.395,4.24,2,0,0,1,1
12-04-2025 09:08:30-CR-007,12/04/2025 9:08,-0.62,1.61,2,1,0,0,1
12-04-2025 09:08:30-CR-008,12/04/2025 9:08,-0.68,2.48,1,1,0,0,0
12-04-2025 09:08:45-CR-001,12/04/2025 9:08,-0.24,3.9,1,1,0,0,0
12-04-2025 09:08:45-CR-002,12/04/2025 9:08,-0.52,5.9,3,1,1,0,1
12-04-2025 09:08:45-CR-003,12/04/2025 9:08,-0.645,4.26,2,1,0,0,1
12-04-2025 09:08:45-CR-004,12/04/2025 9:08,-0.63,1.34,1,0,1,0,0
12-04-2025 09:08:45-CR-005,12/04/2025 9:08,-0.4225,10.3,4,1,1,0,2
