Timestamp,Sensor ID,Time_Sensor_ID,Latitude,Longitude,Location,Predicted Rainfall (mm),Actual Rainfall (mm),Predicted Windspeed (km/h),Actual Windspeed (km/h),Predicted Temperature (°C),Actual Temperature (°C),Predicted Humidity (%),Actual Humidity (%),Predicted Storm,Actual Storm,Flood Event
3/1/2025 1:00,CITY-PointFortin,01-03-2025 01-00-00-CITY-PointFortin,10.176,-61.6863,Point Fortin,4.6,40.3,28,28.5,29.4,29.6,68.7,88.4,Clear,Clear,No
3/1/2025 1:00,CITY-SangreGrande,01-03-2025 01-00-00-CITY-SangreGrande,10.5833,-61.1167,Sangre Grande,4.7,38,12.3,16.2,26.2,24.4,60.1,68.3,Storm,Storm,No
3/1/2025 1:00,CITY-Couva,01-03-2025 01-00-00-CITY-Couva,10.4256,-61.4675,Couva,29.7,0,14.5,15.1,30.5,25.7,78.1,80.5,Clear,Clear,No
3/1/2025 1:00,CITY-PrincesTown,01-03-2025 01-00-00-CITY-PrincesTown,10.2711,-61.3711,Princes Town,40.6,45,19.5,12,25.9,31.2,75.5,79,Storm,Storm,No
3/1/2025 2:00,CR-001,01-03-2025 02-00-00-CR-001,10.62038,-61.466257,Port of Spain,7.5,49.6,29.4,12,28.3,29.2,76.4,83.6,Storm,Clear,No
3/1/2025 2:00,CR-002,01-03-2025 02-00-00-CR-002,10.617247,-61.43931,Chaguanas,25.3,28.8,9.5,20.2,30.7,28.7,79.6,68.5,Storm,Storm,No
3/1/2025 2:00,CR-003,01-03-2025 02-00-00-CR-003,10.616628,-61.420142,Couva,14.2,38.7,18.9,27.7,25.4,27.3,63,72.7,Clear,Clear,No
3/1/2025 2:00,CR-004,01-03-2025 02-00-00-CR-004,10.609654,-61.395995,San Fernando,37.9,41.2,6.5,6.4,26.3,25,68.3,61.1,Rainy,Storm,No
3/1/2025 2:00,CR-005,01-03-2025 02-00-00-CR-005,10.606111,-61.374422,Princes Town,12.3,30.7,17.7,13,29,31.9,75.9,79.1,Cloudy,Cloudy,No
3/1/2025 2:00,CR-006,01-03-2025 02-00-00-CR-006,10.582769,-61.341406,Point Fortin,1.7,30.7,10,15.9,24.4,25.8,87.8,67.6,Rainy,Rainy,No
3/1/2025 2:00,CR-007,01-03-2025 02-00-00-CR-007,10.578663,-61.291224,Sangre Grande,10.9,1.3,6.1,26.1,31.5,26.9,78,79.9,Rainy,Storm,No
3/1/2025 2:00,CR-008,01-03-2025 02-00-00-CR-008,10.5799,-61.255061,Arima,14,35.9,10.5,25.2,24.6,29.8,71.5,87.3,Rainy,Clear,No
3/1/2025 2:00,CITY-PortofSpain,01-03-2025 02-00-00-CITY-PortofSpain,10.6678,-61.5189,Port of Spain,42.1,44.5,12.4,5.2,25.9,27.5,83.3,65.5,Rainy,Rainy,No
3/1/2025 2:00,CITY-SanFernando,01-03-2025 02-00-00-CITY-SanFernando,10.28,-61.4595,San Fernando,27,43.5,13.4,6.2,28.3,27.9,65.8,64.8,Cloudy,Cloudy,No
3/1/2025 2:00,CITY-Chaguanas,01-03-2025 02-00-00-CITY-Chaguanas,10.5167,-61.4167,Chaguanas,36.3,35.1,20,9.1,28.3,26.2,69.6,84.4,Rainy,Rainy,No
3/1/2025 2:00,CITY-Arima,01-03-2025 02-00-00-CITY-Arima,10.6333,-61.2833,Arima,11.1,40.5,18.8,8.1,26.9,29.5,75.7,77.3,Cloudy,Rainy,No
3/1/2025 2:00,CITY-PointFortin,01-03-2025 02-00-00-CITY-PointFortin,10.176,-61.6863,Point Fortin,39,8.6,7.3,25.3,29.4,29.8,89.4,63.4,Rainy,Rainy,No
3/1/2025 2:00,CITY-SangreGrande,01-03-2025 02-00-00-CITY-SangreGrande,10.5833,-61.1167,Sangre Grande,31.5,48.9,12,11.5,29.6,25.2,70.8,88.8,Storm,Clear,No
3/1/2025 2:00,CITY-Couva,01-03-2025 02-00-00-CITY-Couva,10.4256,-61.4675,Couva,46.5,31.1,27.6,23.4,31,28.9,64.1,88.8,Clear,Rainy,No
3/1/2025 2:00,CITY-PrincesTown,01-03-2025 02-00-00-CITY-PrincesTown,10.2711,-61.3711,Princes Town,11.5,28.2,10.2,20.2,30.4,28.6,68.9,85,Cloudy,Clear,No
3/1/2025 3:00,CR-001,01-03-2025 03-00-00-CR-001,10.62038,-61.466257,Port of Spain,7,43.4,8,25.9,24.7,28.8,64.5,61.1,Clear,Storm,No
3/1/2025 3:00,CR-002,01-03-2025 03-00-00-CR-002,10.617247,-61.43931,Chaguanas,48,2.9,5.5,8.7,26.6,30.5,82.8,73.7,Clear,Clear,No
3/1/2025 3:00,CR-003,01-03-2025 03-00-00-CR-003,10.616628,-61.420142,Couva,0.6,3,15.8,19,31.4,25.5,87.2,62,Cloudy,Rainy,No
3/1/2025 3:00,CR-004,01-03-2025 03-00-00-CR-004,10.609654,-61.395995,San Fernando,38.9,15.5,24.6,8.6,24.2,28.5,73.5,62.2,Rainy,Rainy,No
3/1/2025 3:00,CR-005,01-03-2025 03-00-00-CR-005,10.606111,-61.374422,Princes Town,10.8,24.9,20.7,22.7,29.6,25.1,82.8,77,Cloudy,Rainy,No
3/1/2025 3:00,CR-006,01-03-2025 03-00-00-CR-006,10.582769,-61.341406,Point Fortin,33.5,34.1,29.8,18.7,29.2,24.7,86,83.8,Rainy,Storm,No
3/1/2025 3:00,CR-007,01-03-2025 03-00-00-CR-007,10.578663,-61.291224,Sangre Grande,46.9,33.8,16.7,6.1,25.4,24.2,86.8,75.4,Cloudy,Cloudy,No
3/1/2025 3:00,CR-008,01-03-2025 03-00-00-CR-008,10.5799,-61.255061,Arima,36.8,42.6,23,28.8,30.8,30.8,67.4,84.6,Clear,Clear,No
3/1/2025 3:00,CITY-PortofSpain,01-03-2025 03-00-00-CITY-PortofSpain,10.6678,-61.5189,Port of Spain,21.4,8.8,11.5,6.7,31.7,28.9,78.9,81.9,Cloudy,Clear,No
3/1/2025 3:00,CITY-SanFernando,01-03-2025 03-00-00-CITY-SanFernando,10.28,-61.4595,San Fernando,46.1,4.6,27.5,20.4,24.4,26.7,75.2,81,Cloudy,Storm,No
3/1/2025 3:00,CITY-Chaguanas,01-03-2025 03-00-00-CITY-Chaguanas,10.5167,-61.4167,Chaguanas,41,1.9,13,6.1,27.6,24.4,64.8,61.9,Storm,Clear,No
3/1/2025 3:00,CITY-Arima,01-03-2025 03-00-00-CITY-Arima,10.6333,-61.2833,Arima,29.5,15.9,16.8,10.4,29.5,24,64.9,85.4,Rainy,Storm,No
3/1/2025 3:00,CITY-PointFortin,01-03-2025 03-00-00-CITY-PointFortin,10.176,-61.6863,Point Fortin,43.9,5.6,23.4,26.6,31.7,31.4,66.2,85.1,Storm,Storm,No
3/1/2025 3:00,CITY-SangreGrande,01-03-2025 03-00-00-CITY-SangreGrande,10.5833,-61.1167,Sangre Grande,36.2,33.7,15.1,9.7,24.6,26.1,74.1,87,Clear,Clear,No
3/1/2025 3:00,CITY-Couva,01-03-2025 03-00-00-CITY-Couva,10.4256,-61.4675,Couva,15.4,25.1,12.6,23,24.7,24,71.5,63.5,Clear,Clear,No
3/1/2025 3:00,CITY-PrincesTown,01-03-2025 03-00-00-CITY-PrincesTown,10.2711,-61.3711,Princes Town,38.4,25.2,10,13,31.9,27.6,82.7,68.8,Cloudy,Cloudy,No
3/1/2025 4:00,CR-001,01-03-2025 04-00-00-CR-001,10.62038,-61.466257,Port of Spain,22.9,25.1,26.5,6.5,31.1,28.7,68.2,64.9,Storm,Storm,No
3/1/2025 4:00,CR-002,01-03-2025 04-00-00-CR-002,10.617247,-61.43931,Chaguanas,17.6,5,17.4,18.8,31,26.6,61.5,76.9,Cloudy,Rainy,No
3/1/2025 4:00,CR-003,01-03-2025 04-00-00-CR-003,10.616628,-61.420142,Couva,8.9,40.9,20.4,29.7,27.9,26.1,81.7,66.3,Cloudy,Cloudy,No
3/1/2025 4:00,CR-004,01-03-2025 04-00-00-CR-004,10.609654,-61.395995,San Fernando,49.5,42.2,12.1,11.8,28.8,26.2,80.1,75.8,Cloudy,Cloudy,No
3/1/2025 4:00,CR-005,01-03-2025 04-00-00-CR-005,10.606111,-61.374422,Princes Town,46.2,2.3,18.4,12.5,25.6,27.8,88.5,73.3,Storm,Storm,No
3/1/2025 4:00,CR-006,01-03-2025 04-00-00-CR-006,10.582769,-61.341406,Point Fortin,24.6,9.3,20.8,11.5,29.7,28,79.4,61.2,Clear,Rainy,No
3/1/2025 4:00,CR-007,01-03-2025 04-00-00-CR-007,10.578663,-61.291224,Sangre Grande,34.1,15.9,5.5,8.2,27.3,24.6,64.7,83.3,Rainy,Storm,No
3/1/2025 4:00,CR-008,01-03-2025 04-00-00-CR-008,10.5799,-61.255061,Arima,0,13.2,16.8,13.7,25.7,30.8,82,81.2,Rainy,Cloudy,No
3/1/2025 4:00,CITY-PortofSpain,01-03-2025 04-00-00-CITY-PortofSpain,10.6678,-61.5189,Port of Spain,46.6,28.6,6,8.9,24.7,26.9,69.5,78.4,Cloudy,Rainy,No
3/1/2025 4:00,CITY-SanFernando,01-03-2025 04-00-00-CITY-SanFernando,10.28,-61.4595,San Fernando,7.6,9,25.7,5.5,30,29.3,76.7,63,Clear,Clear,No
3/1/2025 4:00,CITY-Chaguanas,01-03-2025 04-00-00-CITY-Chaguanas,10.5167,-61.4167,Chaguanas,47.4,23.5,13.4,13,31.7,28.4,64.4,76.5,Clear,Clear,No
3/1/2025 4:00,CITY-Arima,01-03-2025 04-00-00-CITY-Arima,10.6333,-61.2833,Arima,38.1,2.7,18.5,28.4,27.8,27.5,65.5,85.6,Storm,Storm,No
3/1/2025 4:00,CITY-PointFortin,01-03-2025 04-00-00-CITY-PointFortin,10.176,-61.6863,Point Fortin,25.4,34.8,15.3,15.1,24.1,28.1,73.9,77.8,Storm,Cloudy,No
3/1/2025 4:00,CITY-SangreGrande,01-03-2025 04-00-00-CITY-SangreGrande,10.5833,-61.1167,Sangre Grande,9,31.3,26.5,23.5,31.8,27.9,74.5,65.6,Cloudy,Clear,No
3/1/2025 4:00,CITY-Couva,01-03-2025 04-00-00-CITY-Couva,10.4256,-61.4675,Couva,34.8,25.1,8.3,22.2,30.6,26.2,71.8,87.4,Cloudy,Cloudy,No
3/1/2025 4:00,CITY-PrincesTown,01-03-2025 04-00-00-CITY-PrincesTown,10.2711,-61.3711,Princes Town,8,41,29.3,11.6,25.7,29.1,71.6,86,Rainy,Rainy,No
3/1/2025 5:00,CR-001,01-03-2025 05-00-00-CR-001,10.62038,-61.466257,Port of Spain,21.4,14.4,5.4,29.6,29.4,31.9,79.8,66.5,Storm,Rainy,No
3/1/2025 5:00,CR-002,01-03-2025 05-00-00-CR-002,10.617247,-61.43931,Chaguanas,0,16.3,10.2,15.6,31.9,25.8,77.1,69.5,Cloudy,Cloudy,No
3/1/2025 5:00,CR-003,01-03-2025 05-00-00-CR-003,10.616628,-61.420142,Couva,20.1,15,18.7,27.8,25.3,26.1,65.7,61,Cloudy,Storm,No
3/1/2025 5:00,CR-004,01-03-2025 05-00-00-CR-004,10.609654,-61.395995,San Fernando,38.3,22.6,12.1,22.7,30,24.3,81.2,78.6,Rainy,Clear,No
3/1/2025 5:00,CR-005,01-03-2025 05-00-00-CR-005,10.606111,-61.374422,Princes Town,1.5,23.5,10.5,8,32,24.5,89.4,75.2,Clear,Clear,No
3/1/2025 5:00,CR-006,01-03-2025 05-00-00-CR-006,10.582769,-61.341406,Point Fortin,14.1,5.9,12.5,8.2,25.4,30.4,69.5,67.1,Cloudy,Clear,No
3/1/2025 5:00,CR-007,01-03-2025 05-00-00-CR-007,10.578663,-61.291224,Sangre Grande,49.9,25.9,9.8,21.9,31.6,29,60.9,63.2,Rainy,Clear,No
3/1/2025 5:00,CR-008,01-03-2025 05-00-00-CR-008,10.5799,-61.255061,Arima,33.1,43.7,22.4,10.1,25,28.3,61.5,77,Storm,Clear,No
3/1/2025 5:00,CITY-PortofSpain,01-03-2025 05-00-00-CITY-PortofSpain,10.6678,-61.5189,Port of Spain,48.1,22.9,26.8,19.9,31,24.8,75.9,67.2,Rainy,Rainy,No
3/1/2025 5:00,CITY-SanFernando,01-03-2025 05-00-00-CITY-SanFernando,10.28,-61.4595,San Fernando,39.1,47.7,26.9,5.6,25.8,31.7,88,64,Rainy,Rainy,No
3/1/2025 5:00,CITY-Chaguanas,01-03-2025 05-00-00-CITY-Chaguanas,10.5167,-61.4167,Chaguanas,0.2,0.7,22.5,15,29.2,24.6,88.4,65.2,Cloudy,Cloudy,No
3/1/2025 5:00,CITY-Arima,01-03-2025 05-00-00-CITY-Arima,10.6333,-61.2833,Arima,38.4,6,10.8,28.1,24.8,25.1,66.7,86.3,Storm,Storm,No
3/1/2025 5:00,CITY-PointFortin,01-03-2025 05-00-00-CITY-PointFortin,10.176,-61.6863,Point Fortin,2.1,31.2,29.2,17.2,30.5,26.3,86.6,60.6,Storm,Storm,No
3/1/2025 5:00,CITY-SangreGrande,01-03-2025 05-00-00-CITY-SangreGrande,10.5833,-61.1167,Sangre Grande,22.3,40.4,16.9,19.9,26.1,30.6,88.1,68.6,Storm,Storm,No
3/1/2025 5:00,CITY-Couva,01-03-2025 05-00-00-CITY-Couva,10.4256,-61.4675,Couva,14.2,30.4,25.4,23,26,30.9,84,67.1,Rainy,Rainy,No
3/1/2025 5:00,CITY-PrincesTown,01-03-2025 05-00-00-CITY-PrincesTown,10.2711,-61.3711,Princes Town,34.5,13.4,28.9,10.7,26.2,29.6,80.3,61.9,Rainy,Rainy,No
3/1/2025 6:00,CR-001,01-03-2025 06-00-00-CR-001,10.62038,-61.466257,Port of Spain,48.9,47.4,14.8,17.4,25.7,24.4,62.1,63.4,Clear,Clear,No
3/1/2025 6:00,CR-002,01-03-2025 06-00-00-CR-002,10.617247,-61.43931,Chaguanas,46.1,7.4,25.4,5.7,30.1,25.4,73.4,72.8,Cloudy,Storm,No
3/1/2025 6:00,CR-003,01-03-2025 06-00-00-CR-003,10.616628,-61.420142,Couva,37.1,47.2,6.6,5.9,27.3,24.4,72.3,83.5,Rainy,Cloudy,No
3/1/2025 6:00,CR-004,01-03-2025 06-00-00-CR-004,10.609654,-61.395995,San Fernando,17.2,24.6,8.1,5.2,26.6,26,69.8,80.2,Clear,Cloudy,No
3/1/2025 6:00,CR-005,01-03-2025 06-00-00-CR-005,10.606111,-61.374422,Princes Town,43,39.7,28.7,24.8,25,27.6,64.6,61.2,Storm,Rainy,No
3/1/2025 6:00,CR-006,01-03-2025 06-00-00-CR-006,10.582769,-61.341406,Point Fortin,42.2,9.2,23.2,11.2,25.5,30.8,75.8,84.2,Cloudy,Cloudy,No
3/1/2025 6:00,CR-007,01-03-2025 06-00-00-CR-007,10.578663,-61.291224,Sangre Grande,35.2,20.5,19.2,13.1,24.3,29.3,61,89.6,Rainy,Clear,No
3/1/2025 6:00,CR-008,01-03-2025 06-00-00-CR-008,10.5799,-61.255061,Arima,47.9,24.7,23.6,9.2,26.5,31.9,82.5,69.7,Cloudy,Cloudy,No
3/1/2025 6:00,CITY-PortofSpain,01-03-2025 06-00-00-CITY-PortofSpain,10.6678,-61.5189,Port of Spain,39,47.4,22.4,25.5,31.9,25.4,86.8,86.7,Rainy,Rainy,No
3/1/2025 6:00,CITY-SanFernando,01-03-2025 06-00-00-CITY-SanFernando,10.28,-61.4595,San Fernando,25.5,0.9,15.5,13.6,30.2,25.5,63.8,66.8,Rainy,Rainy,No
3/1/2025 6:00,CITY-Chaguanas,01-03-2025 06-00-00-CITY-Chaguanas,10.5167,-61.4167,Chaguanas,17.4,12.6,11.3,21.5,25.8,24.1,72.2,67.8,Cloudy,Clear,No
3/1/2025 6:00,CITY-Arima,01-03-2025 06-00-00-CITY-Arima,10.6333,-61.2833,Arima,44.5,3,27.6,25.9,28.5,24.7,78.8,86.1,Clear,Rainy,No
3/1/2025 6:00,CITY-PointFortin,01-03-2025 06-00-00-CITY-PointFortin,10.176,-61.6863,Point Fortin,32.4,0.2,6.7,25.9,27.2,26.5,77.7,81.3,Rainy,Clear,No
3/1/2025 6:00,CITY-SangreGrande,01-03-2025 06-00-00-CITY-SangreGrande,10.5833,-61.1167,Sangre Grande,35.3,15.5,22.2,15.8,25.4,27.5,68.5,68.1,Clear,Clear,No
3/1/2025 6:00,CITY-Couva,01-03-2025 06-00-00-CITY-Couva,10.4256,-61.4675,Couva,46.5,21,18,16.5,26.1,31,81.6,76,Clear,Storm,No
3/1/2025 6:00,CITY-PrincesTown,01-03-2025 06-00-00-CITY-PrincesTown,10.2711,-61.3711,Princes Town,43.3,41.9,27.9,11.8,30.2,29.6,65.4,68.1,Clear,Clear,No
3/1/2025 7:00,CR-001,01-03-2025 07-00-00-CR-001,10.62038,-61.466257,Port of Spain,16.9,3.9,11.3,6.9,28.6,25.8,66.9,77.3,Rainy,Cloudy,No
3/1/2025 7:00,CR-002,01-03-2025 07-00-00-CR-002,10.617247,-61.43931,Chaguanas,3.4,38,29.5,12,27.9,25.6,77.9,68.9,Storm,Rainy,No
3/1/2025 7:00,CR-003,01-03-2025 07-00-00-CR-003,10.616628,-61.420142,Couva,42.3,23.6,22.5,14.6,30.2,26,69.3,79,Clear,Cloudy,No
3/1/2025 7:00,CR-004,01-03-2025 07-00-00-CR-004,10.609654,-61.395995,San Fernando,9.9,14.5,5.4,18.9,28.3,30.6,64.6,60.6,Clear,Clear,No
3/1/2025 7:00,CR-005,01-03-2025 07-00-00-CR-005,10.606111,-61.374422,Princes Town,37.2,0.6,20.8,20.7,26.1,27.5,77.8,75.9,Clear,Clear,No
3/1/2025 7:00,CR-006,01-03-2025 07-00-00-CR-006,10.582769,-61.341406,Point Fortin,39.9,44.9,8.9,6.4,26.8,30.8,83.6,87.1,Rainy,Rainy,No
3/1/2025 7:00,CR-007,01-03-2025 07-00-00-CR-007,10.578663,-61.291224,Sangre Grande,26.5,49.5,9.8,9.1,28.6,25.5,62.7,85,Clear,Clear,No
3/1/2025 7:00,CR-008,01-03-2025 07-00-00-CR-008,10.5799,-61.255061,Arima,3.5,41.8,6.7,11.2,28.9,26.4,85.2,78.7,Cloudy,Storm,No
3/1/2025 7:00,CITY-PortofSpain,01-03-2025 07-00-00-CITY-PortofSpain,10.6678,-61.5189,Port of Spain,33.8,14.4,7.6,5.5,24.5,24.4,65.8,60.5,Storm,Storm,No
3/1/2025 7:00,CITY-SanFernando,01-03-2025 07-00-00-CITY-SanFernando,10.28,-61.4595,San Fernando,10.9,31.4,9.4,14.1,29.8,27.4,89.6,64.6,Cloudy,Cloudy,No
3/1/2025 7:00,CITY-Chaguanas,01-03-2025 07-00-00-CITY-Chaguanas,10.5167,-61.4167,Chaguanas,0.7,21.3,7.5,15.1,25.8,27.2,71.4,84.6,Clear,Clear,No
3/1/2025 7:00,CITY-Arima,01-03-2025 07-00-00-CITY-Arima,10.6333,-61.2833,Arima,8.6,28.8,27.6,23,31.5,26,62.9,71.3,Storm,Cloudy,No
3/1/2025 7:00,CITY-PointFortin,01-03-2025 07-00-00-CITY-PointFortin,10.176,-61.6863,Point Fortin,8,35.2,17.6,10.9,24.2,30.3,86.7,65.8,Rainy,Storm,No
3/1/2025 7:00,CITY-SangreGrande,01-03-2025 07-00-00-CITY-SangreGrande,10.5833,-61.1167,Sangre Grande,0.6,2.6,7.5,6.7,26.2,24.6,68.3,86.8,Rainy,Rainy,No
3/1/2025 7:00,CITY-Couva,01-03-2025 07-00-00-CITY-Couva,10.4256,-61.4675,Couva,48,12.5,19.9,18.9,24.4,28.9,68.9,86.9,Storm,Storm,No
3/1/2025 7:00,CITY-PrincesTown,01-03-2025 07-00-00-CITY-PrincesTown,10.2711,-61.3711,Princes Town,48.5,36.3,8.4,11.8,27.4,27.9,60.8,85.8,Cloudy,Cloudy,No
3/1/2025 8:00,CR-001,01-03-2025 08-00-00-CR-001,10.62038,-61.466257,Port of Spain,29.1,17.3,17,29.3,31.1,28.2,89.8,70.5,Cloudy,Rainy,No
3/1/2025 8:00,CR-002,01-03-2025 08-00-00-CR-002,10.617247,-61.43931,Chaguanas,15,16.5,20.1,6.6,29.3,30.2,63.3,70.9,Cloudy,Clear,No
3/1/2025 8:00,CR-003,01-03-2025 08-00-00-CR-003,10.616628,-61.420142,Couva,16.3,3.2,24.2,23.1,31.9,31.9,88.2,76.9,Cloudy,Storm,No
3/1/2025 8:00,CR-004,01-03-2025 08-00-00-CR-004,10.609654,-61.395995,San Fernando,25.3,28.9,6.7,24.9,27.7,28.7,80.1,75.7,Rainy,Storm,No
3/1/2025 8:00,CR-005,01-03-2025 08-00-00-CR-005,10.606111,-61.374422,Princes Town,49.5,7.7,25.2,17.8,30.7,31.5,70.1,66.7,Rainy,Storm,No
3/1/2025 8:00,CR-006,01-03-2025 08-00-00-CR-006,10.582769,-61.341406,Point Fortin,4.3,39.9,18.6,25.2,25.9,27,89.4,63.9,Clear,Clear,No
3/1/2025 8:00,CR-007,01-03-2025 08-00-00-CR-007,10.578663,-61.291224,Sangre Grande,2,27.9,26,29.7,30.4,29.9,79.3,85.1,Clear,Clear,No
3/1/2025 8:00,CR-008,01-03-2025 08-00-00-CR-008,10.5799,-61.255061,Arima,44.9,22.4,22.3,24.8,31.5,27.7,83.7,67.3,Storm,Cloudy,No
3/1/2025 8:00,CITY-PortofSpain,01-03-2025 08-00-00-CITY-PortofSpain,10.6678,-61.5189,Port of Spain,47.7,19,26.5,27.2,25.5,31.2,81,85.2,Cloudy,Cloudy,No
3/1/2025 8:00,CITY-SanFernando,01-03-2025 08-00-00-CITY-SanFernando,10.28,-61.4595,San Fernando,30.7,21.8,20.2,28,24.5,25.1,76.1,75.1,Cloudy,Storm,No
3/1/2025 8:00,CITY-Chaguanas,01-03-2025 08-00-00-CITY-Chaguanas,10.5167,-61.4167,Chaguanas,24.2,3.8,20.7,20.2,26.7,30.5,67.6,70.8,Clear,Clear,No
3/1/2025 8:00,CITY-Arima,01-03-2025 08-00-00-CITY-Arima,10.6333,-61.2833,Arima,1.9,28.3,10,23.1,24.5,25,79.4,82.3,Cloudy,Clear,No
