datestamp_gauge,hourly_timestamp,Average of sentiment_score,Sum of distance_to_gauge_km,Count of post_id,Cunupia,Piarco,St. Augustine,St. Helena
01-03-2025 12-00-00-CR-003,3/1/2025 12:00,-0.095833333333333,2.46,2,0,0,2,0
01-03-2025 13-00-00-CR-001,3/1/2025 13:00,0.105555555555556,4.38,3,0,0,0,3
01-03-2025 13-00-00-CR-002,3/1/2025 13:00,0.175,4.03,2,1,1,0,0
01-03-2025 13-00-00-CR-003,3/1/2025 13:00,-0.0266666666666664,6.15,5,0,0,5,0
01-03-2025 14-00-00-CR-001,3/1/2025 14:00,0.1,2.92,2,0,0,0,2
01-03-2025 14-00-00-CR-002,3/1/2025 14:00,0.03,12.35,5,0,5,0,0
01-03-2025 15-00-00-CR-001,3/1/2025 15:00,0.164583333333334,5.84,4,0,0,0,4
01-03-2025 15-00-00-CR-002,3/1/2025 15:00,-0.0249999999999999,2.47,1,0,1,0,0
01-03-2025 15-00-00-CR-003,3/1/2025 15:00,-0.191666666666666,1.23,1,0,0,1,0
01-03-2025 16-00-00-CR-001,3/1/2025 16:00,0.125,1.46,1,0,0,0,1
01-03-2025 16-00-00-CR-002,3/1/2025 16:00,0.0722222222222222,5.59,3,2,1,0,0
01-03-2025 16-00-00-CR-003,3/1/2025 16:00,-0.033333333333333,2.46,2,0,0,2,0
01-03-2025 17-00-00-CR-001,3/1/2025 17:00,0.158333333333333,4.38,3,0,0,0,3
01-03-2025 17-00-00-CR-002,3/1/2025 17:00,-0.0916666666666667,4.94,2,0,2,0,0
01-03-2025 17-00-00-CR-003,3/1/2025 17:00,-0.0666666666666666,3.69,3,0,0,3,0
01-03-2025 18-00-00-CR-001,3/1/2025 18:00,-0.3,1.46,1,0,0,0,1
01-03-2025 18-00-00-CR-002,3/1/2025 18:00,0.2,4.94,2,0,2,0,0
01-03-2025 18-00-00-CR-003,3/1/2025 18:00,-0.225,2.46,2,0,0,2,0
01-03-2025 19-00-00-CR-001,3/1/2025 19:00,0.125,1.46,1,0,0,0,1
01-03-2025 19-00-00-CR-002,3/1/2025 19:00,0.0722222222222222,5.59,3,2,1,0,0
01-03-2025 20-00-00-CR-001,3/1/2025 20:00,0.125,1.46,1,0,0,0,1
01-03-2025 20-00-00-CR-002,3/1/2025 20:00,0.0722222222222222,5.59,3,2,1,0,0
01-03-2025 20-00-00-CR-003,3/1/2025 20:00,0.5,1.23,1,0,0,1,0
01-03-2025 21-00-00-CR-002,3/1/2025 21:00,-0.0333333333333331,5.59,3,2,1,0,0
01-03-2025 22-00-00-CR-001,3/1/2025 22:00,-0.095833333333333,2.92,2,0,0,0,2
01-03-2025 22-00-00-CR-002,3/1/2025 22:00,0.341666666666667,8.97,4,1,3,0,0
01-03-2025 22-00-00-CR-003,3/1/2025 22:00,-0.0305555555555553,3.69,3,0,0,3,0
01-03-2025 23-00-00-CR-001,3/1/2025 23:00,-0.0333333333333332,7.3,5,0,0,0,5
01-03-2025 23-00-00-CR-002,3/1/2025 23:00,0.23,10.53,5,2,3,0,0
01-03-2025 23-00-00-CR-003,3/1/2025 23:00,0.0833333333333333,3.69,3,0,0,3,0
02-03-2025 00-00-00-CR-001,3/2/2025 0:00,-0.0249999999999999,1.46,1,0,0,0,1
02-03-2025 00-00-00-CR-002,3/2/2025 0:00,0.108333333333333,8.97,4,1,3,0,0
02-03-2025 00-00-00-CR-003,3/2/2025 0:00,0.21875,4.92,4,0,0,4,0
02-03-2025 01-00-00-CR-001,3/2/2025 1:00,0.1,2.92,2,0,0,0,2
02-03-2025 01-00-00-CR-002,3/2/2025 1:00,0.106666666666667,8.71,5,4,1,0,0
02-03-2025 01-00-00-CR-003,3/2/2025 1:00,0,1.23,1,0,0,1,0
02-03-2025 02-00-00-CR-001,3/2/2025 2:00,-0.0333333333333331,4.38,3,0,0,0,3
02-03-2025 02-00-00-CR-002,3/2/2025 2:00,-0.20625,8.97,4,1,3,0,0
02-03-2025 02-00-00-CR-003,3/2/2025 2:00,0.125,2.46,2,0,0,2,0
02-03-2025 03-00-00-CR-001,3/2/2025 3:00,-0.213888888888889,4.38,3,0,0,0,3
02-03-2025 03-00-00-CR-002,3/2/2025 3:00,-0.0520833333333333,7.15,4,3,1,0,0
02-03-2025 03-00-00-CR-003,3/2/2025 3:00,0.2625,2.46,2,0,0,2,0
02-03-2025 04-00-00-CR-001,3/2/2025 4:00,-0.166666666666667,2.92,2,0,0,0,2
02-03-2025 04-00-00-CR-002,3/2/2025 4:00,0.195,9.62,5,3,2,0,0
02-03-2025 04-00-00-CR-003,3/2/2025 4:00,0.125,1.23,1,0,0,1,0
02-03-2025 05-00-00-CR-001,3/2/2025 5:00,0,1.46,1,0,0,0,1
02-03-2025 05-00-00-CR-003,3/2/2025 5:00,0.125,2.46,2,0,0,2,0
02-03-2025 06-00-00-CR-001,3/2/2025 6:00,-0.0305555555555553,4.38,3,0,0,0,3
02-03-2025 06-00-00-CR-002,3/2/2025 6:00,-0.0722222222222221,12.09,6,3,3,0,0
02-03-2025 07-00-00-CR-001,3/2/2025 7:00,0.104166666666667,2.92,2,0,0,0,2
02-03-2025 07-00-00-CR-002,3/2/2025 7:00,-0.072222222222222,5.59,3,2,1,0,0
02-03-2025 08-00-00-CR-001,3/2/2025 8:00,-0.170833333333333,2.92,2,0,0,0,2
02-03-2025 08-00-00-CR-002,3/2/2025 8:00,-0.0194444444444443,11.18,6,4,2,0,0
02-03-2025 08-00-00-CR-003,3/2/2025 8:00,0.125,1.23,1,0,0,1,0
02-03-2025 09-00-00-CR-002,3/2/2025 9:00,0.05625,7.15,4,3,1,0,0
02-03-2025 09-00-00-CR-003,3/2/2025 9:00,-0.0875,2.46,2,0,0,2,0
02-03-2025 10-00-00-CR-003,3/2/2025 10:00,0.147222222222222,3.69,3,0,0,3,0
02-03-2025 11-00-00-CR-001,3/2/2025 11:00,-0.108333333333333,2.92,2,0,0,0,2
02-03-2025 11-00-00-CR-002,3/2/2025 11:00,0.0833333333333333,5.59,3,2,1,0,0
02-03-2025 11-00-00-CR-003,3/2/2025 11:00,-0.0125,2.46,2,0,0,2,0
02-03-2025 12-00-00-CR-002,3/2/2025 12:00,-0.015,9.62,5,3,2,0,0
02-03-2025 12-00-00-CR-003,3/2/2025 12:00,0.125,1.23,1,0,0,1,0
02-03-2025 13-00-00-CR-001,3/2/2025 13:00,-0.15,1.46,1,0,0,0,1
02-03-2025 13-00-00-CR-002,3/2/2025 13:00,0.0305555555555556,5.59,3,2,1,0,0
02-03-2025 13-00-00-CR-003,3/2/2025 13:00,0.0625,2.46,2,0,0,2,0
02-03-2025 14-00-00-CR-001,3/2/2025 14:00,0.5,1.46,1,0,0,0,1
02-03-2025 14-00-00-CR-002,3/2/2025 14:00,0.0944444444444447,4.68,3,3,0,0,0
02-03-2025 15-00-00-CR-001,3/2/2025 15:00,0.0458333333333335,5.84,4,0,0,0,4
02-03-2025 15-00-00-CR-002,3/2/2025 15:00,0.204761904761905,11.83,7,6,1,0,0
02-03-2025 15-00-00-CR-003,3/2/2025 15:00,-0.0333333333333333,1.23,1,0,0,1,0
02-03-2025 16-00-00-CR-001,3/2/2025 16:00,0.5,1.46,1,0,0,0,1
02-03-2025 16-00-00-CR-002,3/2/2025 16:00,0.15,13,6,2,4,0,0
02-03-2025 16-00-00-CR-003,3/2/2025 16:00,-0.0229166666666665,4.92,4,0,0,4,0
02-03-2025 17-00-00-CR-001,3/2/2025 17:00,0.125,1.46,1,0,0,0,1
02-03-2025 17-00-00-CR-002,3/2/2025 17:00,0.2625,4.03,2,1,1,0,0
02-03-2025 17-00-00-CR-003,3/2/2025 17:00,0.0611111111111114,3.69,3,0,0,3,0
02-03-2025 18-00-00-CR-002,3/2/2025 18:00,0.1875,4.03,2,1,1,0,0
02-03-2025 18-00-00-CR-003,3/2/2025 18:00,0.4,1.23,1,0,0,1,0
02-03-2025 19-00-00-CR-001,3/2/2025 19:00,0.0944444444444447,4.38,3,0,0,0,3
02-03-2025 19-00-00-CR-002,3/2/2025 19:00,-0.0458333333333333,14.82,6,0,6,0,0
02-03-2025 20-00-00-CR-002,3/2/2025 20:00,0.0785714285714286,11.83,7,6,1,0,0
02-03-2025 20-00-00-CR-003,3/2/2025 20:00,-0.15,1.23,1,0,0,1,0
02-03-2025 21-00-00-CR-002,3/2/2025 21:00,0.18125,7.15,4,3,1,0,0
02-03-2025 21-00-00-CR-003,3/2/2025 21:00,-0.00833333333333333,3.69,3,0,0,3,0
02-03-2025 22-00-00-CR-001,3/2/2025 22:00,-0.1625,2.92,2,0,0,0,2
02-03-2025 22-00-00-CR-002,3/2/2025 22:00,0.125,1.56,1,1,0,0,0
02-03-2025 22-00-00-CR-003,3/2/2025 22:00,0.104166666666667,2.46,2,0,0,2,0
02-03-2025 23-00-00-CR-001,3/2/2025 23:00,0.0566666666666668,7.3,5,0,0,0,5
02-03-2025 23-00-00-CR-002,3/2/2025 23:00,0.05625,7.15,4,3,1,0,0
02-03-2025 23-00-00-CR-003,3/2/2025 23:00,0.105555555555556,3.69,3,0,0,3,0
03-03-2025 00-00-00-CR-001,3/3/2025 0:00,-0.0333333333333331,4.38,3,0,0,0,3
03-03-2025 00-00-00-CR-002,3/3/2025 0:00,-0.138333333333333,9.62,5,3,2,0,0
03-03-2025 00-00-00-CR-003,3/3/2025 0:00,0.154166666666667,2.46,2,0,0,2,0
03-03-2025 01-00-00-CR-002,3/3/2025 1:00,-0.05,10.53,5,2,3,0,0
03-03-2025 01-00-00-CR-003,3/3/2025 1:00,0.233333333333333,2.46,2,0,0,2,0
03-03-2025 02-00-00-CR-002,3/3/2025 2:00,0.118333333333333,7.8,5,5,0,0,0
03-03-2025 02-00-00-CR-003,3/3/2025 2:00,-0.00833333333333333,3.69,3,0,0,3,0
03-03-2025 03-00-00-CR-001,3/3/2025 3:00,0.125,4.38,3,0,0,0,3
03-03-2025 03-00-00-CR-002,3/3/2025 3:00,-0.170833333333333,3.12,2,2,0,0,0
03-03-2025 03-00-00-CR-003,3/3/2025 3:00,0.4,1.23,1,0,0,1,0
03-03-2025 04-00-00-CR-001,3/3/2025 4:00,-0.1125,2.92,2,0,0,0,2
03-03-2025 04-00-00-CR-002,3/3/2025 4:00,-0.0249999999999999,2.47,1,0,1,0,0
03-03-2025 04-00-00-CR-003,3/3/2025 4:00,-0.0333333333333333,2.46,2,0,0,2,0
03-03-2025 05-00-00-CR-002,3/3/2025 5:00,0.5,3.12,2,2,0,0,0
03-03-2025 05-00-00-CR-003,3/3/2025 5:00,0.22,6.15,5,0,0,5,0
03-03-2025 06-00-00-CR-001,3/3/2025 6:00,0.0500000000000001,2.92,2,0,0,0,2
03-03-2025 06-00-00-CR-003,3/3/2025 6:00,0.15,6.15,5,0,0,5,0
03-03-2025 07-00-00-CR-001,3/3/2025 7:00,-0.191666666666666,1.46,1,0,0,0,1
03-03-2025 07-00-00-CR-002,3/3/2025 7:00,0.0625,3.12,2,2,0,0,0
03-03-2025 07-00-00-CR-003,3/3/2025 7:00,-0.0249999999999999,1.23,1,0,0,1,0
03-03-2025 08-00-00-CR-001,3/3/2025 8:00,-0.15,1.46,1,0,0,0,1
03-03-2025 08-00-00-CR-002,3/3/2025 8:00,0.0190476190476191,16.38,7,1,6,0,0
03-03-2025 09-00-00-CR-001,3/3/2025 9:00,0.125,4.38,3,0,0,0,3
03-03-2025 09-00-00-CR-002,3/3/2025 9:00,-0.00833333333333333,8.97,4,1,3,0,0
03-03-2025 09-00-00-CR-003,3/3/2025 9:00,0.113888888888889,3.69,3,0,0,3,0
03-03-2025 10-00-00-CR-001,3/3/2025 10:00,-0.0861111111111109,4.38,3,0,0,0,3
03-03-2025 10-00-00-CR-002,3/3/2025 10:00,-0.0633333333333331,7.8,5,5,0,0,0
03-03-2025 11-00-00-CR-001,3/3/2025 11:00,-0.0333333333333333,1.46,1,0,0,0,1
03-03-2025 11-00-00-CR-002,3/3/2025 11:00,0.0850000000000001,10.53,5,2,3,0,0
03-03-2025 11-00-00-CR-003,3/3/2025 11:00,-0.263888888888889,3.69,3,0,0,3,0
03-03-2025 12-00-00-CR-001,3/3/2025 12:00,-0.158333333333333,4.38,3,0,0,0,3
03-03-2025 12-00-00-CR-002,3/3/2025 12:00,-0.0249999999999999,2.47,1,0,1,0,0
03-03-2025 12-00-00-CR-003,3/3/2025 12:00,0.0194444444444447,3.69,3,0,0,3,0
03-03-2025 13-00-00-CR-001,3/3/2025 13:00,0.2375,2.92,2,0,0,0,2
03-03-2025 13-00-00-CR-002,3/3/2025 13:00,0.0472222222222222,10.27,6,5,1,0,0
03-03-2025 13-00-00-CR-003,3/3/2025 13:00,0.2625,2.46,2,0,0,2,0
03-03-2025 14-00-00-CR-002,3/3/2025 14:00,0.176388888888889,12.09,6,3,3,0,0
03-03-2025 14-00-00-CR-003,3/3/2025 14:00,-0.0875,2.46,2,0,0,2,0
03-03-2025 15-00-00-CR-002,3/3/2025 15:00,0.125,1.56,1,1,0,0,0
03-03-2025 16-00-00-CR-001,3/3/2025 16:00,-0.075,2.92,2,0,0,0,2
03-03-2025 16-00-00-CR-002,3/3/2025 16:00,0,2.47,1,0,1,0,0
03-03-2025 16-00-00-CR-003,3/3/2025 16:00,-0.15,1.23,1,0,0,1,0
03-03-2025 17-00-00-CR-002,3/3/2025 17:00,0.0541666666666667,8.06,4,2,2,0,0
03-03-2025 17-00-00-CR-003,3/3/2025 17:00,0.0214285714285716,8.61,7,0,0,7,0
03-03-2025 18-00-00-CR-001,3/3/2025 18:00,0.04375,5.84,4,0,0,0,4
03-03-2025 18-00-00-CR-002,3/3/2025 18:00,-0.158333333333333,5.59,3,2,1,0,0
03-03-2025 18-00-00-CR-003,3/3/2025 18:00,-0.0333333333333333,3.69,3,0,0,3,0
03-03-2025 19-00-00-CR-001,3/3/2025 19:00,0.125,2.92,2,0,0,0,2
03-03-2025 19-00-00-CR-002,3/3/2025 19:00,0.125,1.56,1,1,0,0,0
03-03-2025 19-00-00-CR-003,3/3/2025 19:00,0.236111111111111,3.69,3,0,0,3,0
03-03-2025 20-00-00-CR-001,3/3/2025 20:00,-0.3,2.92,2,0,0,0,2
03-03-2025 20-00-00-CR-002,3/3/2025 20:00,-0.16,10.53,5,2,3,0,0
03-03-2025 20-00-00-CR-003,3/3/2025 20:00,0,1.23,1,0,0,1,0
03-03-2025 21-00-00-CR-001,3/3/2025 21:00,-0.119444444444444,4.38,3,0,0,0,3
03-03-2025 21-00-00-CR-002,3/3/2025 21:00,0.0305555555555556,6.5,3,1,2,0,0
03-03-2025 21-00-00-CR-003,3/3/2025 21:00,0.122222222222222,3.69,3,0,0,3,0
03-03-2025 22-00-00-CR-003,3/3/2025 22:00,0,2.46,2,0,0,2,0
03-03-2025 23-00-00-CR-001,3/3/2025 23:00,0.197222222222222,4.38,3,0,0,0,3
03-03-2025 23-00-00-CR-002,3/3/2025 23:00,-0.095833333333333,4.03,2,1,1,0,0
03-03-2025 23-00-00-CR-003,3/3/2025 23:00,-0.3,1.23,1,0,0,1,0
04-03-2025 00-00-00-CR-001,3/4/2025 0:00,0.1,2.92,2,0,0,0,2
04-03-2025 00-00-00-CR-002,3/4/2025 0:00,-0.0107142857142857,14.56,7,3,4,0,0
04-03-2025 01-00-00-CR-001,3/4/2025 1:00,0.5,1.46,1,0,0,0,1
04-03-2025 01-00-00-CR-002,3/4/2025 1:00,0.011904761904762,14.56,7,3,4,0,0
04-03-2025 01-00-00-CR-003,3/4/2025 1:00,-0.0291666666666666,2.46,2,0,0,2,0
04-03-2025 02-00-00-CR-001,3/4/2025 2:00,0.183333333333333,2.92,2,0,0,0,2
04-03-2025 02-00-00-CR-002,3/4/2025 2:00,-0.1,7.41,3,0,3,0,0
04-03-2025 02-00-00-CR-003,3/4/2025 2:00,0.125,1.23,1,0,0,1,0
04-03-2025 03-00-00-CR-001,3/4/2025 3:00,0.125,2.92,2,0,0,0,2
04-03-2025 03-00-00-CR-002,3/4/2025 3:00,0.222916666666667,8.97,4,1,3,0,0
04-03-2025 03-00-00-CR-003,3/4/2025 3:00,-0.0249999999999999,1.23,1,0,0,1,0
04-03-2025 04-00-00-CR-001,3/4/2025 4:00,0.104166666666667,2.92,2,0,0,0,2
04-03-2025 04-00-00-CR-002,3/4/2025 4:00,-0.0513888888888887,13,6,2,4,0,0
04-03-2025 04-00-00-CR-003,3/4/2025 4:00,0.125,2.46,2,0,0,2,0
04-03-2025 05-00-00-CR-002,3/4/2025 5:00,-0.0520833333333333,8.97,4,1,3,0,0
04-03-2025 05-00-00-CR-003,3/4/2025 5:00,0.125,1.23,1,0,0,1,0
04-03-2025 06-00-00-CR-002,3/4/2025 6:00,0.0616666666666668,9.62,5,3,2,0,0
04-03-2025 06-00-00-CR-003,3/4/2025 6:00,0.2125,4.92,4,0,0,4,0
04-03-2025 07-00-00-CR-001,3/4/2025 7:00,0.110416666666667,5.84,4,0,0,0,4
04-03-2025 07-00-00-CR-002,3/4/2025 7:00,-0.0875,3.12,2,2,0,0,0
04-03-2025 07-00-00-CR-003,3/4/2025 7:00,0.4,2.46,2,0,0,2,0
04-03-2025 08-00-00-CR-001,3/4/2025 8:00,0.154166666666667,2.92,2,0,0,0,2
04-03-2025 08-00-00-CR-002,3/4/2025 8:00,0.0933333333333336,10.53,5,2,3,0,0
04-03-2025 08-00-00-CR-003,3/4/2025 8:00,0.125,1.23,1,0,0,1,0
04-03-2025 09-00-00-CR-002,3/4/2025 9:00,0.075,6.5,3,1,2,0,0
04-03-2025 10-00-00-CR-001,3/4/2025 10:00,-0.0249999999999999,1.46,1,0,0,0,1
04-03-2025 10-00-00-CR-003,3/4/2025 10:00,0.4,1.23,1,0,0,1,0
04-03-2025 11-00-00-CR-001,3/4/2025 11:00,0.45,2.92,2,0,0,0,2
04-03-2025 11-00-00-CR-002,3/4/2025 11:00,0.116666666666667,12.09,6,3,3,0,0
04-03-2025 11-00-00-CR-003,3/4/2025 11:00,0.1,2.46,2,0,0,2,0
04-03-2025 12-00-00-CR-001,3/4/2025 12:00,-0.0249999999999999,1.46,1,0,0,0,1
04-03-2025 12-00-00-CR-002,3/4/2025 12:00,-0.0249999999999999,1.56,1,1,0,0,0
04-03-2025 12-00-00-CR-003,3/4/2025 12:00,0.233333333333333,2.46,2,0,0,2,0
04-03-2025 13-00-00-CR-001,3/4/2025 13:00,-0.208333333333333,4.38,3,0,0,0,3
04-03-2025 14-00-00-CR-001,3/4/2025 14:00,0.4,1.46,1,0,0,0,1
04-03-2025 14-00-00-CR-002,3/4/2025 14:00,-0.00555555555555531,12.09,6,3,3,0,0
04-03-2025 15-00-00-CR-002,3/4/2025 15:00,-0.213888888888889,7.41,3,0,3,0,0
04-03-2025 15-00-00-CR-003,3/4/2025 15:00,-0.172222222222222,3.69,3,0,0,3,0
04-03-2025 16-00-00-CR-001,3/4/2025 16:00,-0.3,1.46,1,0,0,0,1
04-03-2025 16-00-00-CR-002,3/4/2025 16:00,0.04375,6.24,4,4,0,0,0
04-03-2025 17-00-00-CR-002,3/4/2025 17:00,0.0566666666666667,18.33,10,7,3,0,0
04-03-2025 17-00-00-CR-003,3/4/2025 17:00,-0.15,2.46,2,0,0,2,0
04-03-2025 18-00-00-CR-001,3/4/2025 18:00,-0.0249999999999999,1.46,1,0,0,0,1
04-03-2025 18-00-00-CR-002,3/4/2025 18:00,0.105555555555556,7.41,3,0,3,0,0
04-03-2025 18-00-00-CR-003,3/4/2025 18:00,-0.245833333333333,2.46,2,0,0,2,0
04-03-2025 19-00-00-CR-002,3/4/2025 19:00,-0.0222222222222222,13,6,2,4,0,0
04-03-2025 19-00-00-CR-003,3/4/2025 19:00,0.06,6.15,5,0,0,5,0
04-03-2025 20-00-00-CR-002,3/4/2025 20:00,-0.204166666666667,8.97,4,1,3,0,0
04-03-2025 20-00-00-CR-003,3/4/2025 20:00,0,1.23,1,0,0,1,0
04-03-2025 21-00-00-CR-001,3/4/2025 21:00,-0.0249999999999999,1.46,1,0,0,0,1
04-03-2025 21-00-00-CR-002,3/4/2025 21:00,0.2625,4.03,2,1,1,0,0
04-03-2025 22-00-00-CR-002,3/4/2025 22:00,0.0472222222222223,12.09,6,3,3,0,0
04-03-2025 22-00-00-CR-003,3/4/2025 22:00,-0.245833333333333,2.46,2,0,0,2,0
04-03-2025 23-00-00-CR-001,3/4/2025 23:00,0.0458333333333334,2.92,2,0,0,0,2
04-03-2025 23-00-00-CR-002,3/4/2025 23:00,0.3125,4.03,2,1,1,0,0
05-03-2025 00-00-00-CR-001,3/5/2025 0:00,-0.0249999999999999,1.46,1,0,0,0,1
05-03-2025 00-00-00-CR-002,3/5/2025 0:00,-0.0694444444444444,5.59,3,2,1,0,0
05-03-2025 00-00-00-CR-003,3/5/2025 0:00,0.05,2.46,2,0,0,2,0
05-03-2025 01-00-00-CR-001,3/5/2025 1:00,-0.0979166666666665,5.84,4,0,0,0,4
05-03-2025 01-00-00-CR-002,3/5/2025 1:00,-0.191666666666666,4.94,2,0,2,0,0
05-03-2025 01-00-00-CR-003,3/5/2025 1:00,0.2375,2.46,2,0,0,2,0
05-03-2025 02-00-00-CR-002,3/5/2025 2:00,0.00416666666666668,8.06,4,2,2,0,0
05-03-2025 02-00-00-CR-003,3/5/2025 2:00,-0.108333333333333,3.69,3,0,0,3,0
05-03-2025 03-00-00-CR-001,3/5/2025 3:00,-0.0249999999999999,1.46,1,0,0,0,1
05-03-2025 03-00-00-CR-002,3/5/2025 3:00,0.125,4.68,3,3,0,0,0
05-03-2025 03-00-00-CR-003,3/5/2025 3:00,0.4,1.23,1,0,0,1,0
05-03-2025 04-00-00-CR-001,3/5/2025 4:00,-0.0249999999999999,1.46,1,0,0,0,1
05-03-2025 04-00-00-CR-002,3/5/2025 4:00,0.4,2.47,1,0,1,0,0
05-03-2025 05-00-00-CR-002,3/5/2025 5:00,0.0166666666666667,6.5,3,1,2,0,0
05-03-2025 05-00-00-CR-003,3/5/2025 5:00,-0.191666666666666,1.23,1,0,0,1,0
05-03-2025 06-00-00-CR-001,3/5/2025 6:00,0.1875,2.92,2,0,0,0,2
05-03-2025 06-00-00-CR-002,3/5/2025 6:00,-0.122222222222222,6.5,3,1,2,0,0
05-03-2025 07-00-00-CR-001,3/5/2025 7:00,0.45,2.92,2,0,0,0,2
05-03-2025 07-00-00-CR-002,3/5/2025 7:00,0.11875,8.97,4,1,3,0,0
05-03-2025 07-00-00-CR-003,3/5/2025 7:00,-0.0583333333333333,3.69,3,0,0,3,0
05-03-2025 08-00-00-CR-001,3/5/2025 8:00,-0.0333333333333333,1.46,1,0,0,0,1
05-03-2025 08-00-00-CR-002,3/5/2025 8:00,0.00833333333333343,17.68,9,5,4,0,0
05-03-2025 08-00-00-CR-003,3/5/2025 8:00,-0.3,1.23,1,0,0,1,0
05-03-2025 09-00-00-CR-001,3/5/2025 9:00,-0.191666666666666,1.46,1,0,0,0,1
05-03-2025 09-00-00-CR-002,3/5/2025 9:00,0.063888888888889,13.91,6,1,5,0,0
05-03-2025 09-00-00-CR-003,3/5/2025 9:00,-0.15,2.46,2,0,0,2,0
05-03-2025 10-00-00-CR-001,3/5/2025 10:00,0.4,1.46,1,0,0,0,1
05-03-2025 10-00-00-CR-002,3/5/2025 10:00,-0.075,4.03,2,1,1,0,0
05-03-2025 10-00-00-CR-003,3/5/2025 10:00,0.2375,2.46,2,0,0,2,0
05-03-2025 11-00-00-CR-001,3/5/2025 11:00,0.0104166666666667,5.84,4,0,0,0,4
05-03-2025 11-00-00-CR-002,3/5/2025 11:00,0.0125000000000001,21.06,10,4,6,0,0
05-03-2025 12-00-00-CR-001,3/5/2025 12:00,-0.0125,2.92,2,0,0,0,2
05-03-2025 12-00-00-CR-002,3/5/2025 12:00,0.125,5.59,3,2,1,0,0
05-03-2025 12-00-00-CR-003,3/5/2025 12:00,0.005555555555556,3.69,3,0,0,3,0
05-03-2025 13-00-00-CR-001,3/5/2025 13:00,0.236111111111111,4.38,3,0,0,0,3
05-03-2025 13-00-00-CR-002,3/5/2025 13:00,0.0383333333333334,8.71,5,4,1,0,0
